,Time,"I(1,7) tq = linear flat","I(1,7) tq = 10","I(1,7) tq = 100"
361,0.361,0.004861895564889529,0.12529039927600683,0.03544672895937273
362,0.362,0.005062751444878902,0.1268255704888368,0.035924749885385965
363,0.363,0.0053014074183426185,0.1285600365030779,0.03659503107849438
364,0.364,0.005572736836554737,0.13045995442834346,0.03747320903587925
365,0.365,0.005867517231582006,0.13246197284917993,0.038546963413297775
366,0.366,0.006173407004749637,0.134478079979367,0.03977545667537585
367,0.367,0.0064764781948871974,0.1364043344946244,0.04109293555745397
368,0.368,0.006763080481180128,0.13813216577850973,0.04241623355836466
369,0.369,0.007021747748009469,0.13956044627682762,0.04365533654231668
370,0.37,0.007244837910598684,0.14060637048662517,0.04472561823915078
371,0.371,0.007429629240678595,0.1412134116091528,0.045559920036278845
372,0.372,0.007578682655689506,0.14135525171897845,0.0461184728188766
373,0.373,0.007699406156033678,0.1410354462089588,0.046394861134544385
374,0.374,0.007802898656647961,0.14028344709834795,0.046416859386464226
375,0.375,0.007902274114597305,0.13914823329493198,0.04624193945813615
376,0.376,0.008010746711673664,0.13769103893925028,0.045948332119650326
377,0.377,0.008139781268674706,0.13597853505641844,0.04562342303044742
378,0.378,0.0082975827497557,0.13407742001265177,0.04535172695079703
379,0.379,0.008488128143606055,0.13205087090148226,0.045204605215278026
380,0.38,0.008710850720686822,0.1299568418442829,0.04523333830799092
381,0.381,0.008960987071900739,0.1278478540037653,0.045466328392188005
382,0.382,0.009230504423526437,0.12577173750876613,0.04591031776671417
383,0.383,0.009509449052800628,0.12377274738953248,0.04655476858875596
384,0.384,0.009787503284888074,0.12189255041612745,0.04737808514596187
385,0.385,0.010055513930331814,0.12017072511212024,0.048354219456984926
