,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10110,0.244228288,0.077451036,0.111678466,0.247040706,0.022763506,0.285096206,0.000198855,0.000674537,0.000999014,0.000854068,0.000616612,0.000574575,3.76E-05,9.36E-09,0.000324104,0.000348237,0.002520028,4.88E-07,0.000666679,5.72E-05,0.000336155,4.43E-05,0.000668634,0.002063903,0.000386288,0.000340248,3.29E-06,1.25E-05,1.36E-06,3.19E-08,8.49E-07,1.22E-05
1110,0.000357509,0.000591137,0.001129699,0.001100218,0.000729845,6.09E-05,0.023492807,0.081340973,0.012646665,0.05190537,0.053473395,0.045911356,0.014646305,0.202482268,0.002262233,0.008433096,0.051865379,0.107131574,0.016725009,0.001721309,0.011313606,0.031662447,0.034437302,0.099428289,0.1083083,0.033074769,0.000187246,0.00098933,0.000930924,1.28E-05,0.000328255,0.001319687
11110,0.002808651,0.000121873,1.84E-05,0.000317742,0.000793314,0.003565073,0.010113666,0.015529977,0.007381853,0.030783039,0.128054979,0.01720813,5.08E-05,0.057172742,0.011247771,0.044940498,0.104513756,0.126442704,0.026471783,0.00425738,0.146972088,0.018828187,0.016435291,0.133977818,0.057554611,0.030686794,2.15E-05,0.000277937,0.000765043,0.001078231,0.000780511,0.000827776
1,1.29E-06,1.83E-06,3.97E-06,5.17E-06,4.44E-06,6.94E-07,0.001365504,0.000189128,0.000636464,0.0002661,0.000848009,0.000513862,8.34E-05,0.001023312,3.06E-05,0.000251184,0.000462035,0.002329862,0.000129464,2.47E-06,0.000303088,0.000310122,0.000529117,0.000680535,0.000493062,0.001632237,0.313438616,0.187550581,0.008732617,0.118075216,0.312064735,0.048041268
10001,0.000266063,0.000587011,0.000723896,0.001580467,0.00085345,0.000226682,0.032663641,0.09879888,0.034739693,0.097267444,0.011773094,0.06715919,0.005359875,0.152636928,0.011804797,0.019087563,0.030003895,0.143409309,4.23E-06,0.007412966,0.033255574,0.071425717,0.005902719,0.060385953,0.085171276,0.023596112,0.00124708,0.000719072,4.19E-05,0.000492648,0.00120167,0.000201219
1001,5.02E-06,8.47E-06,2.70E-05,8.57E-06,1.51E-05,1.52E-06,0.115961206,0.017391219,0.000256727,0.195963606,0.029888374,0.056023375,0.012745291,0.056924096,0.028144259,0.00461474,0.045334629,0.053165732,0.054215234,0.002997151,0.000747265,0.118955679,0.010243285,0.095934764,0.023452901,0.072974854,0.001103689,0.001018745,5.91E-06,0.000476144,0.001082024,0.000313387
11001,2.44E-05,3.66E-07,3.14E-05,4.62E-05,1.37E-06,2.90E-05,0.132281169,0.12330034,0.000938786,0.000165707,0.000173405,0.027958152,0.109770287,0.000982465,0.006277265,0.213822478,0.029512629,0.000727281,0.004441669,0.106596252,0.000659918,0.000335466,0.000912632,1.49E-05,0.127219451,0.11366137,2.40E-05,2.47E-06,1.67E-05,4.55E-05,1.11E-06,2.58E-05
101,0.000151398,0.00065343,0.000883049,0.001252244,0.000715391,0.000354407,0.018931571,0.036751747,0.032599666,0.033217341,0.025490343,0.144861571,0.048430919,0.005566106,0.047009828,0.063453247,0.116552414,0.00836774,0.152878439,5.08E-05,0.009612055,0.094414814,0.044201628,0.068837068,0.019778281,0.016970882,0.004437469,2.17E-05,4.14E-05,9.62E-05,0.001619512,0.001797403
10101,0.036920826,0.161255613,0.214934818,0.309200874,0.173983397,0.087495328,0.001974057,0.000391201,0.000995737,3.76E-05,0.000149976,0.003052965,0.00121618,5.28E-06,0.000649563,0.000127187,0.000705502,5.47E-05,0.000145958,2.94E-05,7.35E-05,0.004814848,0.000237954,9.78E-07,0.000279907,0.001219106,2.16E-05,2.57E-06,2.46E-06,2.12E-06,9.00E-07,1.78E-05
1101,3.38E-06,7.36E-06,2.00E-05,1.52E-05,1.50E-05,4.62E-06,0.093285641,0.022981289,0.000256458,0.136557279,0.003730652,0.074577976,0.046836267,0.027491967,0.079307888,0.038842021,0.007939813,0.078403359,0.013685651,0.005313886,0.006946831,0.051118497,0.006680034,0.198625437,0.01052719,0.09296079,6.12E-05,0.001272468,0.000891977,1.20E-06,0.000213166,0.001425561
11101,0.000156182,0.000611023,0.000871865,0.001240941,0.00064955,0.000366914,0.055865726,0.000727664,0.014571787,0.005413606,0.075487591,0.00034567,0.195770165,0.018496822,0.030256836,0.005468097,0.011516305,0.019146214,0.057443354,0.080454383,0.12323355,0.102970016,0.0532073,0.03941821,0.001564857,0.100969564,3.17E-05,0.000257725,0.000776605,0.001111038,0.000754554,0.000844226
11,9.47E-06,4.25E-06,2.96E-07,4.80E-08,1.10E-05,6.64E-06,0.000296436,0.000242147,0.00248186,2.39E-06,3.21E-05,0.000388349,0.000223086,0.000364656,0.000418283,0.002283159,0.00057496,0.000444431,0.000120668,8.89E-06,0.000259869,0.000322212,0.002114631,0.000358954,0.000812355,0.000231073,0.346048942,0.005632221,0.263235082,0.051394904,0.20501585,0.116660706
10011,0.00132472,9.07E-05,0.000671523,0.000769519,0.000467551,0.000639648,0.011937771,0.068561401,0.156460526,0.028974281,0.062143379,0.07238104,0.082070756,0.026999752,0.055877668,0.00408778,0.006713533,0.001835325,0.0028205,0.086400579,0.010685017,0.061798984,0.098319834,0.066681255,0.078065124,0.009253819,0.001309601,4.44E-06,0.001308001,0.000106235,0.000650183,0.000589568
1011,0.000245056,0.000706625,0.001268851,0.000812922,0.000682097,0.000153273,0.019636432,0.023585037,0.036795221,0.077801036,0.004474778,0.080473938,0.027684336,0.003356277,0.129647069,0.152774683,0.062571044,0.002361483,0.049914288,1.11E-05,0.031946579,0.166835886,0.051845867,0.014331036,0.037280152,0.01490189,0.002946301,0.001688785,1.58E-05,0.00021032,8.89E-05,0.002952935
11011,0.000730991,0.000881817,0.000182623,0.00028008,0.001234704,0.000574639,0.0268892,0.072766273,0.101077468,0.003696733,0.051356001,0.01818601,0.008947569,0.044499827,0.107846063,0.000740466,0.036158816,0.051677633,0.120714164,0.002476992,0.065094785,0.031188522,0.09858586,0.006727438,0.116867415,0.026881233,4.04E-07,0.000228078,0.001010214,0.000973418,0.000586235,0.000938332
111,6.93E-06,5.13E-06,4.56E-07,9.68E-09,7.60E-06,1.16E-05,0.000269045,0.000470745,0.001998584,4.01E-05,9.03E-05,8.48E-05,5.40E-05,0.000356638,0.000121834,0.000891751,0.00219115,0.000310094,0.000172596,1.95E-05,0.000124721,0.001468265,0.002416654,6.73E-05,0.000422167,0.000257291,0.169095098,0.254859342,0.017401764,0.285369823,0.016634965,0.24477973
10111,0.001582745,0.001461685,3.96E-05,3.08E-05,0.001530304,0.003049808,0.000596783,0.007282323,0.030299535,0.004621402,0.023415301,0.026852056,0.047282608,0.05095387,0.081435986,0.025800456,0.112442667,0.038460326,0.143500603,0.22110012,0.008952776,0.06620199,0.047718256,0.030640522,0.016148397,0.000754107,0.001073314,0.002807816,0.000539124,5.83E-07,0.000306878,0.003117249
1111,1.57E-06,1.83E-06,5.38E-06,3.16E-06,3.71E-06,9.68E-08,0.001053767,0.000237811,0.000440301,0.000513835,0.000534553,0.000161508,1.08E-05,0.001439914,4.69E-05,0.001096481,7.05E-06,0.001382327,3.65E-08,1.30E-06,0.000420335,0.000788146,0.000896399,0.000400648,0.000300906,0.001793724,0.045357677,0.270709212,0.233597651,0.004486174,0.089880979,0.344425894
11111,1.50E-05,3.81E-07,2.06E-06,1.40E-06,1.06E-08,2.60E-05,0.000770576,0.000158173,0.000275059,2.21E-05,0.003341049,2.96E-05,4.65E-05,0.000299323,1.13E-06,0.000331795,0.000476076,0.00022597,4.56E-05,0.000165993,0.004744153,0.000371537,9.35E-05,0.000914596,0.000415191,0.002391338,0.005894407,0.071925689,0.202644491,0.281378663,0.205923289,0.217069318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.10E-06,4.42E-09,5.96E-07,2.90E-07,2.34E-07,1.69E-06,1.75E-06,1.06E-07,1.24E-08,8.52E-07,2.87E-07,4.19E-09,9.44E-08,6.41E-09,8.74E-08,9.36E-08,5.53E-08,9.28E-08,1.84E-09,9.26E-11,1.18E-06,9.32E-08,8.16E-08,2.03E-08,1.50E-07,1.43E-07,1.30E-07,7.41E-07,2.53E-07,2.17E-07,3.50E-07,7.99E-08
10000,1.82E-04,6.89E-05,1.54E-05,8.63E-05,3.04E-05,2.69E-04,2.68E-05,1.14E-05,8.54E-07,1.47E-04,7.73E-06,5.05E-05,1.10E-06,2.17E-06,1.51E-05,3.01E-05,4.23E-06,1.84E-05,1.16E-06,3.35E-09,3.76E-05,8.02E-05,3.46E-06,3.90E-06,1.37E-05,1.32E-06,5.12E-10,2.94E-09,9.94E-10,8.63E-10,1.37E-09,3.22E-10
1000,1.58E-05,1.14E-04,2.83E-04,2.70E-04,1.20E-04,1.22E-05,1.24E-04,4.79E-07,4.79E-06,5.52E-06,6.29E-06,8.23E-06,1.44E-04,5.01E-07,3.69E-05,3.85E-06,7.47E-07,1.83E-06,2.19E-06,5.89E-08,2.81E-05,4.18E-04,8.91E-07,5.83E-07,6.38E-08,4.99E-06,5.34E-10,2.80E-09,1.04E-09,8.66E-10,1.35E-09,3.71E-10
11000,5.28E-05,1.15E-04,5.41E-05,7.65E-05,2.93E-04,2.56E-05,1.31E-04,7.60E-06,1.03E-05,1.05E-04,4.18E-06,7.76E-06,2.03E-07,2.20E-06,2.08E-05,5.53E-06,4.92E-06,1.33E-05,3.76E-07,4.38E-12,3.21E-05,3.67E-05,2.07E-05,2.30E-06,8.95E-06,7.40E-06,7.68E-12,5.39E-11,1.21E-11,1.81E-11,1.54E-11,1.22E-11
100,3.44E-05,1.93E-04,7.48E-05,3.88E-05,1.47E-04,6.33E-05,4.49E-05,4.40E-05,7.76E-06,3.05E-06,4.13E-06,6.68E-05,1.02E-06,1.28E-06,1.43E-04,6.01E-06,4.88E-08,1.32E-05,5.82E-06,4.09E-09,1.23E-05,1.19E-04,2.13E-05,1.59E-07,3.50E-05,1.95E-06,3.35E-10,3.84E-09,1.11E-09,6.69E-10,1.44E-09,6.94E-10
10100,8.29E-03,4.85E-02,1.70E-02,8.43E-03,3.77E-02,1.52E-02,2.53E-06,1.59E-07,1.24E-08,1.98E-06,1.69E-08,8.08E-07,6.03E-08,3.08E-09,1.51E-06,1.30E-07,5.46E-08,7.76E-08,6.86E-08,6.96E-12,1.16E-07,2.92E-06,1.23E-08,4.02E-08,1.07E-07,1.02E-07,1.22E-12,1.81E-11,3.56E-12,3.53E-12,4.52E-12,4.58E-12
1100,1.43E-06,1.67E-07,1.03E-05,8.20E-06,2.83E-08,1.94E-06,1.80E-04,5.09E-05,3.62E-07,8.54E-07,1.13E-06,5.56E-05,5.62E-05,3.25E-08,1.03E-07,1.01E-05,2.21E-05,1.15E-06,4.67E-08,5.53E-08,3.45E-06,1.16E-06,1.36E-06,1.23E-07,5.27E-05,9.42E-06,2.03E-11,5.00E-13,5.88E-11,1.08E-11,1.54E-12,1.73E-10
11100,4.09E-05,1.55E-04,8.56E-05,2.39E-05,2.04E-04,4.71E-05,9.88E-05,4.51E-06,7.99E-06,5.13E-05,1.05E-05,5.40E-07,5.25E-06,1.45E-06,3.05E-06,9.23E-06,1.17E-06,2.80E-05,1.20E-06,4.54E-09,1.18E-05,2.30E-05,2.81E-05,2.53E-06,1.39E-05,9.79E-06,4.99E-14,2.50E-11,6.96E-12,1.84E-11,1.87E-11,8.26E-11
10,1.36E-04,2.03E-04,5.49E-06,2.23E-05,4.23E-04,1.31E-04,1.17E-06,5.40E-06,4.23E-06,2.72E-05,2.46E-06,2.08E-04,2.10E-05,1.20E-06,2.06E-04,1.27E-05,8.55E-06,1.03E-05,6.64E-06,6.97E-08,1.37E-06,7.05E-06,6.34E-06,8.72E-07,4.60E-06,5.02E-08,4.81E-09,2.67E-09,8.78E-13,1.87E-10,5.33E-09,4.53E-09
